strain,type,potency,rating,review_count,reports,Anxiety ,Creative ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Focused ,Happy ,Headache ,Insomnia ,Pain ,Paranoid ,Stress ,Uplifted ,ADD/ADHD ,Fatigue ,Giggly ,Muscle spasms ,Relaxed ,Energetic ,Inflammation ,Cramps ,Headaches ,Sleepy ,Tingly ,Hungry ,Anxious ,PTSD ,Lack of appetite ,Talkative ,Nausea ,Bipolar disorder ,Fibromyalgia ,Spasticity ,Migraines ,Aroused ,Eye pressure ,Multiple sclerosis ,Gastrointestinal disorder ,Alzheimer's ,PMS ,Arthritis ,Epilepsy ,Seizures ,Asthma ,Parkinson's ,Spinal cord injury ,Tourette's syndrome ,Anorexia ,Tinnitus ,Cancer ,Muscular dystrophy ,Phantom limb pain ,Hypertension ,Crohn's disease ,Glaucoma ,HIV/AIDS 
Larry Face,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry OG,Hybrid,THC 18%,4.2,(770),541 people reported 4065 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],,['25% of people say it helps with depression'],['5% of people report feeling dizzy'],['17% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['42% of people report feeling euphoric'],['26% of people report feeling focused'],['55% of people report feeling happy'],['5% of people report feeling headache'],['17% of people say it helps with insomnia'],['30% of people say it helps with pain'],,['36% of people say it helps with stress'],['41% of people report feeling uplifted'],,,,,['58% of people report feeling relaxed'],,,,,,,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Pie,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larry's Grapes,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Purple Kush BX,Indica,THC 20%,4.8,(8),6 people reported 42 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],,,,,,['50% of people report feeling euphoric'],,['100% of people report feeling happy'],,['33% of people say it helps with insomnia'],['33% of people say it helps with pain'],,['50% of people say it helps with stress'],['33% of people report feeling uplifted'],,,,,['66% of people report feeling relaxed'],,,,,['66% of people report feeling sleepy'],,,,,['33% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Triangle Kush,Hybrid,Unavailable,4.6,(5),4 people reported 22 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['75% of people report feeling creative'],['25% of people say it helps with depression'],,,,,,['75% of people report feeling happy'],,,['25% of people say it helps with pain'],,,['50% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,,,,,['50% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lashkar Gah,Indica,Unavailable,4.7,(15),11 people reported 52 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['9% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['63% of people report feeling euphoric'],,['36% of people report feeling happy'],,['9% of people say it helps with insomnia'],['27% of people say it helps with pain'],,['18% of people say it helps with stress'],,,,,,['100% of people report feeling relaxed'],,,,,['63% of people report feeling sleepy'],,['27% of people report feeling hungry'],,['18% of people say it helps with ptsd'],['9% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laughing Buddha,Sativa,THC 20%,4.5,(238),170 people reported 1133 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],,['30% of people say it helps with depression'],['4% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['50% of people report feeling euphoric'],,['65% of people report feeling happy'],,,['11% of people say it helps with pain'],['4% of people report feeling paranoid'],['31% of people say it helps with stress'],['61% of people report feeling uplifted'],,['14% of people say it helps with fatigue'],['48% of people report feeling giggly'],,,['50% of people report feeling energetic'],,,,,,,['4% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laughing Gas,Hybrid,Unavailable,4.7,(14),9 people reported 57 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],,['33% of people say it helps with depression'],,,['11% of people report feeling dry mouth'],['44% of people report feeling euphoric'],,['66% of people report feeling happy'],,['22% of people say it helps with insomnia'],,,['33% of people say it helps with stress'],,,['11% of people say it helps with fatigue'],['33% of people report feeling giggly'],,['77% of people report feeling relaxed'],,,,,,,,['11% of people report feeling anxious'],,,['44% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Laughing Laughlin',Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lava Cake,Hybrid,THC 17%,4.5,(86),55 people reported 297 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['18% of people say it helps with depression'],,['9% of people report feeling dry eyes'],['10% of people report feeling dry mouth'],['43% of people report feeling euphoric'],,['40% of people report feeling happy'],['1% of people report feeling headache'],,['18% of people say it helps with pain'],['3% of people report feeling paranoid'],['18% of people say it helps with stress'],['40% of people report feeling uplifted'],,,,,['78% of people report feeling relaxed'],,,,,,,['36% of people report feeling hungry'],,['16% of people say it helps with ptsd'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lava Dawg,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lava Glaciers,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender,Indica,THC 17%,4.1,(756),570 people reported 4066 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,,['6% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['27% of people report feeling dry mouth'],['42% of people report feeling euphoric'],,['44% of people report feeling happy'],['3% of people report feeling headache'],['32% of people say it helps with insomnia'],['36% of people say it helps with pain'],['5% of people report feeling paranoid'],['37% of people say it helps with stress'],['32% of people report feeling uplifted'],,,,,['59% of people report feeling relaxed'],,,,,['40% of people report feeling sleepy'],,,,,,,['18% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Haze,Sativa,THC 19%,4.1,(31),22 people reported 193 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['36% of people say it helps with anxiety'],['45% of people report feeling creative'],['50% of people say it helps with depression'],,['31% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['63% of people report feeling euphoric'],,['63% of people report feeling happy'],['9% of people report feeling headache'],,['18% of people say it helps with pain'],['9% of people report feeling paranoid'],['54% of people say it helps with stress'],['59% of people report feeling uplifted'],,,,,,['45% of people report feeling energetic'],['13% of people say it helps with inflammation'],,,,,,['9% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Jones,Hybrid,THC 21%,4.4,(198),158 people reported 972 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['20% of people say it helps with anxiety'],['22% of people report feeling creative'],['21% of people say it helps with depression'],['1% of people report feeling dizzy'],['10% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['45% of people report feeling euphoric'],,['53% of people report feeling happy'],,['13% of people say it helps with insomnia'],['20% of people say it helps with pain'],['4% of people report feeling paranoid'],['22% of people say it helps with stress'],['31% of people report feeling uplifted'],,,,,['70% of people report feeling relaxed'],,,,,,,,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lavender Trinity,Unavailable,THC 19%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Layer Cake,Hybrid,THC 21%,4.8,(36),36 people reported 186 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['22% of people say it helps with depression'],,,['2% of people report feeling dry mouth'],['52% of people report feeling euphoric'],['33% of people report feeling focused'],['41% of people report feeling happy'],,,['13% of people say it helps with pain'],,['16% of people say it helps with stress'],['33% of people report feeling uplifted'],,,,,['61% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,['13% of people say it helps with arthritis'],,,,,,,,,,,,,,,
Lazy Lightning,Hybrid,Unavailable,4.6,(8),6 people reported 35 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['16% of people say it helps with depression'],,['16% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],['83% of people report feeling euphoric'],,['83% of people report feeling happy'],,['16% of people say it helps with insomnia'],['16% of people say it helps with pain'],,['16% of people say it helps with stress'],['66% of people report feeling uplifted'],,,['66% of people report feeling giggly'],,['100% of people report feeling relaxed'],,,,,,,,,,['16% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazy Susan CBD,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazy Train,Hybrid,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Silver Royale,Hybrid,Unavailable,4.5,(10),6 people reported 36 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['33% of people say it helps with depression'],,['33% of people report feeling dry eyes'],,['66% of people report feeling euphoric'],,['50% of people report feeling happy'],,,['16% of people say it helps with pain'],,['50% of people say it helps with stress'],['100% of people report feeling uplifted'],,,,,['66% of people report feeling relaxed'],,,,,,,,,,,['50% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Leda Uno,Sativa,Unavailable,5.0,(4),3 people reported 16 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['66% of people report feeling creative'],,,,,['66% of people report feeling euphoric'],,,,,['33% of people say it helps with pain'],,['33% of people say it helps with stress'],['33% of people report feeling uplifted'],,,,,['33% of people report feeling relaxed'],,,['33% of people say it helps with cramps'],,,['33% of people report feeling tingly'],,,,,,['33% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Roy,Indica,THC 20%,4.6,(57),41 people reported 310 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],['26% of people report feeling creative'],['31% of people say it helps with depression'],,['4% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['51% of people report feeling euphoric'],,['48% of people report feeling happy'],['2% of people report feeling headache'],['21% of people say it helps with insomnia'],['41% of people say it helps with pain'],,['41% of people say it helps with stress'],['41% of people report feeling uplifted'],,,,,['80% of people report feeling relaxed'],,,,,,,,['2% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legalized OG,Hybrid,THC 18%,4.8,(19),15 people reported 153 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['33% of people say it helps with anxiety'],,['40% of people say it helps with depression'],['6% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['40% of people report feeling dry mouth'],,['46% of people report feeling focused'],['60% of people report feeling happy'],,,['40% of people say it helps with pain'],['6% of people report feeling paranoid'],['40% of people say it helps with stress'],['53% of people report feeling uplifted'],,['26% of people say it helps with fatigue'],,,['86% of people report feeling relaxed'],,,,,['46% of people report feeling sleepy'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend OG,Indica,THC 22%,4.7,(77),63 people reported 381 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],,['23% of people say it helps with depression'],['7% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['12% of people report feeling dry mouth'],['33% of people report feeling euphoric'],,['36% of people report feeling happy'],,['28% of people say it helps with insomnia'],['30% of people say it helps with pain'],['3% of people report feeling paranoid'],['30% of people say it helps with stress'],,,,,,['69% of people report feeling relaxed'],,,,,['46% of people report feeling sleepy'],,['22% of people report feeling hungry'],['1% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend of Brulee,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend of Nigeria,Sativa,Unavailable,4.9,(17),12 people reported 71 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['41% of people say it helps with depression'],,['16% of people report feeling dry eyes'],['16% of people report feeling dry mouth'],,['50% of people report feeling focused'],['58% of people report feeling happy'],,,['8% of people say it helps with pain'],['16% of people report feeling paranoid'],['16% of people say it helps with stress'],['58% of people report feeling uplifted'],['8% of people say it helps with add/adhd'],['25% of people say it helps with fatigue'],,,['33% of people report feeling relaxed'],['50% of people report feeling energetic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legendary Lemon,Sativa,Unavailable,4.0,(5),1 people reported 7 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['100% of people say it helps with anxiety'],,,,,,['100% of people report feeling euphoric'],,['100% of people report feeling happy'],,,,,,,,,,,['100% of people report feeling relaxed'],,,,,,,,,['100% of people say it helps with ptsd'],,,,['100% of people say it helps with bipolar disorder'],,,,['100% of people report feeling aroused'],,,,,,,,,,,,,,,,,,,,,
Legends Gold,Indica,Unavailable,5.0,(1),1 people reported 4 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['100% of people report feeling dry eyes'],['100% of people report feeling dry mouth'],,['100% of people report feeling focused'],,,,,,,,,,,,['100% of people report feeling relaxed'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leia Kush,Hybrid,THC 15%,5.0,(1),1 people reported 5 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['100% of people report feeling euphoric'],,['100% of people report feeling happy'],,,,,,['100% of people report feeling uplifted'],,,,,['100% of people report feeling relaxed'],,,,,,,,,,,['100% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Leia OG,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem Chem,Hybrid,THC 20%,4.7,(12),7 people reported 47 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['57% of people say it helps with anxiety'],,['28% of people say it helps with depression'],,,,['71% of people report feeling euphoric'],,['71% of people report feeling happy'],,,,,['28% of people say it helps with stress'],['57% of people report feeling uplifted'],,['28% of people say it helps with fatigue'],,,['42% of people report feeling relaxed'],['57% of people report feeling energetic'],,,,,,,['14% of people report feeling anxious'],,,,,,,,,,['14% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,
Lemon Alien Dawg,Hybrid,THC 17%,4.5,(75),50 people reported 330 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['34% of people say it helps with depression'],['2% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['48% of people report feeling euphoric'],['28% of people report feeling focused'],['57% of people report feeling happy'],['2% of people report feeling headache'],,,,['36% of people say it helps with stress'],['42% of people report feeling uplifted'],,,,,['64% of people report feeling relaxed'],,,,,,,,['4% of people report feeling anxious'],,['16% of people say it helps with lack of appetite'],,['20% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Apricot,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Banana Sherbet,Hybrid,THC 20%,4.3,(21),16 people reported 109 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],,['43% of people say it helps with depression'],,['12% of people report feeling dry eyes'],['12% of people report feeling dry mouth'],['43% of people report feeling euphoric'],['50% of people report feeling focused'],['75% of people report feeling happy'],,,['18% of people say it helps with pain'],,['37% of people say it helps with stress'],['68% of people report feeling uplifted'],,,,,['56% of people report feeling relaxed'],,,,,,,,,,['12% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Bananas,Hybrid,Unavailable,4.7,(12),8 people reported 48 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['62% of people report feeling creative'],['37% of people say it helps with depression'],,,['12% of people report feeling dry mouth'],,,['62% of people report feeling happy'],,,,,['37% of people say it helps with stress'],['62% of people report feeling uplifted'],['25% of people say it helps with add/adhd'],['12% of people say it helps with fatigue'],,,['50% of people report feeling relaxed'],['50% of people report feeling energetic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Bean,Sativa,Unavailable,5.0,(1),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Berry Candy OG,Hybrid,Unavailable,4.3,(8),5 people reported 51 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['40% of people say it helps with anxiety'],['80% of people report feeling creative'],['40% of people say it helps with depression'],['20% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['40% of people report feeling dry mouth'],['60% of people report feeling euphoric'],,,,,['40% of people say it helps with pain'],,['40% of people say it helps with stress'],['60% of people report feeling uplifted'],,,,,['60% of people report feeling relaxed'],['80% of people report feeling energetic'],,['20% of people say it helps with cramps'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Berry Cookie,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Brulee,Unavailable,THC 21%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Brulee #419,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Bubble,Sativa,THC 16%,4.4,(43),33 people reported 239 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['21% of people say it helps with depression'],['3% of people report feeling dizzy'],['3% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['51% of people report feeling euphoric'],,['63% of people report feeling happy'],,,['15% of people say it helps with pain'],['9% of people report feeling paranoid'],['24% of people say it helps with stress'],['48% of people report feeling uplifted'],,,,['15% of people say it helps with muscle spasms'],,['60% of people report feeling energetic'],,,['18% of people say it helps with headaches'],,,,['6% of people report feeling anxious'],,,['54% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Butter,Unavailable,THC 18%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Cake,Sativa,THC 21%,4.5,(144),120 people reported 650 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['16% of people say it helps with anxiety'],,['15% of people say it helps with depression'],['11% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['35% of people report feeling euphoric'],,['50% of people report feeling happy'],,,['12% of people say it helps with pain'],['5% of people report feeling paranoid'],['20% of people say it helps with stress'],['47% of people report feeling uplifted'],,,,,['39% of people report feeling relaxed'],['30% of people report feeling energetic'],,,,,,,['3% of people report feeling anxious'],,['13% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Cheesecake,Hybrid,THC 19%,4.3,(6),3 people reported 12 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['33% of people report feeling dry mouth'],,,['66% of people report feeling happy'],,,['33% of people say it helps with pain'],,['33% of people say it helps with stress'],['33% of people report feeling uplifted'],,,['33% of people report feeling giggly'],,['33% of people report feeling relaxed'],,,,,,,['33% of people report feeling hungry'],,,['33% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Cherry Gelato,Hybrid,Unavailable,5.0,(8),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Cookies,Hybrid,THC 20%,4.4,(33),19 people reported 148 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],['42% of people report feeling creative'],['31% of people say it helps with depression'],,['15% of people report feeling dry eyes'],['10% of people report feeling dry mouth'],['57% of people report feeling euphoric'],,['57% of people report feeling happy'],['5% of people report feeling headache'],,['21% of people say it helps with pain'],['5% of people report feeling paranoid'],['21% of people say it helps with stress'],['63% of people report feeling uplifted'],,['15% of people say it helps with fatigue'],,,['52% of people report feeling relaxed'],,,,,,,,['5% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Crema,Unavailable,THC 17%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Crumb,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Créme,Sativa,THC 19%,5.0,(4),2 people reported 3 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['50% of people report feeling creative'],,,,,,,['50% of people report feeling happy'],,,,,,,,,,,,['50% of people report feeling energetic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Daddy,Hybrid,Unavailable,3.5,(13),11 people reported 65 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,['9% of people report feeling dizzy'],,['27% of people report feeling dry mouth'],['36% of people report feeling euphoric'],['54% of people report feeling focused'],['54% of people report feeling happy'],['9% of people report feeling headache'],,['18% of people say it helps with pain'],['18% of people report feeling paranoid'],['27% of people say it helps with stress'],['27% of people report feeling uplifted'],['18% of people say it helps with add/adhd'],['18% of people say it helps with fatigue'],,['18% of people say it helps with muscle spasms'],,['36% of people report feeling energetic'],,,,,,,['9% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Diesel,Hybrid,THC 16%,4.2,(583),411 people reported 2989 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['29% of people say it helps with anxiety'],,['27% of people say it helps with depression'],['6% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['31% of people report feeling dry mouth'],['54% of people report feeling euphoric'],,['57% of people report feeling happy'],,,['19% of people say it helps with pain'],['5% of people report feeling paranoid'],['37% of people say it helps with stress'],['50% of people report feeling uplifted'],,['12% of people say it helps with fatigue'],,,['44% of people report feeling relaxed'],['33% of people report feeling energetic'],,,,,,,['3% of people report feeling anxious'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Dosidos,Unavailable,THC 16%,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Dream Cake,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Drop,Hybrid,THC 18%,4.0,(207),156 people reported 990 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],,['24% of people say it helps with depression'],['5% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['39% of people report feeling euphoric'],,['50% of people report feeling happy'],['1% of people report feeling headache'],,['17% of people say it helps with pain'],,['35% of people say it helps with stress'],['40% of people report feeling uplifted'],,,,,['41% of people report feeling relaxed'],['31% of people report feeling energetic'],,,,,,,['3% of people report feeling anxious'],,['12% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Drop Haze,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Fire,Hybrid,THC 20%,4.6,(13),8 people reported 56 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['50% of people say it helps with depression'],,['12% of people report feeling dry eyes'],['25% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['37% of people report feeling focused'],['50% of people report feeling happy'],['12% of people report feeling headache'],,['25% of people say it helps with pain'],,['25% of people say it helps with stress'],['37% of people report feeling uplifted'],,,,,['50% of people report feeling relaxed'],,,,['25% of people say it helps with headaches'],,,,,,['25% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon Fruit Bound,Hybrid,Unavailable,Unavailable,Unavailable,Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
