strain,type,potency,rating,review_count,reports,Anxiety ,Anxious ,Depression ,Dizzy ,Dry eyes ,Dry mouth ,Euphoric ,Happy ,Insomnia ,Pain ,Paranoid ,Relaxed ,Sleepy ,Stress ,Uplifted ,Hungry ,Creative ,Headache ,Energetic ,Fatigue ,PTSD ,Talkative ,Focused ,Headaches ,Lack of appetite ,Tingly ,Nausea ,Giggly ,Eye pressure ,Cramps ,Muscle spasms ,Bipolar disorder ,Inflammation ,Gastrointestinal disorder ,Migraines ,Asthma ,Aroused ,Spasticity ,ADD/ADHD ,PMS ,Arthritis ,Seizures ,Fibromyalgia ,Glaucoma ,Crohn's disease ,Cancer ,Spinal cord injury ,Hypertension ,Phantom limb pain ,Anorexia ,Epilepsy ,Tourette's syndrome ,Multiple sclerosis 
Martian Candy,Hybrid,THC 25%,4.6,(33),26 people reported 203 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['42% of people say it helps with anxiety'],['3% of people report feeling anxious'],['34% of people say it helps with depression'],,['7% of people report feeling dry eyes'],['19% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['57% of people report feeling happy'],['26% of people say it helps with insomnia'],,['3% of people report feeling paranoid'],['69% of people report feeling relaxed'],,['38% of people say it helps with stress'],['50% of people report feeling uplifted'],,['30% of people report feeling creative'],,,['26% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambo OG,Hybrid,THC 14%,4.4,(19),15 people reported 113 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,['20% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['40% of people report feeling dry mouth'],['86% of people report feeling euphoric'],['53% of people report feeling happy'],['33% of people say it helps with insomnia'],['60% of people say it helps with pain'],,['46% of people report feeling relaxed'],['46% of people report feeling sleepy'],['33% of people say it helps with stress'],['33% of people report feeling uplifted'],,,['13% of people report feeling headache'],,,,,,,,,['40% of people say it helps with nausea'],,,,['33% of people say it helps with muscle spasms'],,,,,,,,,,,,,,,,,,,,,,
Lemon Cheesecake,Hybrid,THC 18%,4.3,(6),3 people reported 12 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,['33% of people report feeling dry mouth'],,['66% of people report feeling happy'],,['33% of people say it helps with pain'],,['33% of people report feeling relaxed'],,['33% of people say it helps with stress'],['33% of people report feeling uplifted'],['33% of people report feeling hungry'],,,,,,,,,['33% of people say it helps with lack of appetite'],,,['33% of people report feeling giggly'],,,,,,,,,,,,,,,,,,,,,,,,,
Triple Scoop,Hybrid,THC 23%,4.7,(3),3 people reported 10 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['66% of people report feeling euphoric'],['33% of people report feeling happy'],,,,['66% of people report feeling relaxed'],,,,,,,,,,['33% of people report feeling talkative'],,,,,,['33% of people report feeling giggly'],['33% of people say it helps with eye pressure'],,,,,['33% of people say it helps with gastrointestinal disorder'],,,,,,,,,,,,,,,,,,,
Tropic Truffle,Hybrid,Unavailable,4.4,(7),4 people reported 15 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['50% of people report feeling euphoric'],['50% of people report feeling happy'],,,,['75% of people report feeling relaxed'],,,['50% of people report feeling uplifted'],,,,,,,,,,,['25% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakerstreet,Indica,Unavailable,4.0,(35),25 people reported 191 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['32% of people say it helps with anxiety'],['8% of people report feeling anxious'],['32% of people say it helps with depression'],['4% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['32% of people report feeling dry mouth'],['56% of people report feeling euphoric'],['48% of people report feeling happy'],['28% of people say it helps with insomnia'],['52% of people say it helps with pain'],,['76% of people report feeling relaxed'],['24% of people report feeling sleepy'],['40% of people say it helps with stress'],,['28% of people report feeling hungry'],,['4% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flo OG,Indica,THC 16%,4.4,(65),46 people reported 312 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['26% of people say it helps with anxiety'],['6% of people report feeling anxious'],['30% of people say it helps with depression'],['8% of people report feeling dizzy'],['23% of people report feeling dry eyes'],['19% of people report feeling dry mouth'],['43% of people report feeling euphoric'],['54% of people report feeling happy'],,['32% of people say it helps with pain'],['4% of people report feeling paranoid'],['76% of people report feeling relaxed'],['39% of people report feeling sleepy'],['32% of people say it helps with stress'],['30% of people report feeling uplifted'],,,,,,,,,['21% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Zkittlez,Hybrid,Unavailable,4.7,(9),5 people reported 7 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,['40% of people report feeling happy'],,,,['20% of people report feeling relaxed'],,,['40% of people report feeling uplifted'],,,,['20% of people report feeling energetic'],,,,['20% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghost Rider OG,Indica,THC 17%,4.6,(28),26 people reported 185 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['34% of people say it helps with depression'],['3% of people report feeling dizzy'],,['19% of people report feeling dry mouth'],['38% of people report feeling euphoric'],['42% of people report feeling happy'],['26% of people say it helps with insomnia'],['30% of people say it helps with pain'],,['57% of people report feeling relaxed'],,['34% of people say it helps with stress'],['42% of people report feeling uplifted'],['34% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disco Glitter,Hybrid,Unavailable,4.6,(15),9 people reported 45 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['11% of people say it helps with anxiety'],['22% of people report feeling anxious'],['11% of people say it helps with depression'],['11% of people report feeling dizzy'],,['11% of people report feeling dry mouth'],['55% of people report feeling euphoric'],['44% of people report feeling happy'],['11% of people say it helps with insomnia'],,,['88% of people report feeling relaxed'],,['11% of people say it helps with stress'],['55% of people report feeling uplifted'],['33% of people report feeling hungry'],,,,,,,,,,,,,['11% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,,,,,
Jah Goo,Indica,THC 15%,4.6,(25),19 people reported 140 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['5% of people report feeling anxious'],['21% of people say it helps with depression'],['5% of people report feeling dizzy'],['15% of people report feeling dry eyes'],['26% of people report feeling dry mouth'],['31% of people report feeling euphoric'],['36% of people report feeling happy'],['21% of people say it helps with insomnia'],['21% of people say it helps with pain'],,['68% of people report feeling relaxed'],['42% of people report feeling sleepy'],['31% of people say it helps with stress'],,,,['5% of people report feeling headache'],,,,,,,,['21% of people report feeling tingly'],,,['21% of people say it helps with eye pressure'],,,,,,,,,,,,,,,,,,,,,,,,
Alien Bubba,Indica,Unavailable,4.7,(99),74 people reported 417 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['24% of people say it helps with anxiety'],['1% of people report feeling anxious'],['20% of people say it helps with depression'],['4% of people report feeling dizzy'],['5% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['37% of people report feeling euphoric'],['31% of people report feeling happy'],['21% of people say it helps with insomnia'],['24% of people say it helps with pain'],,['63% of people report feeling relaxed'],['33% of people report feeling sleepy'],['33% of people say it helps with stress'],['21% of people report feeling uplifted'],,,['2% of people report feeling headache'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sauce,Hybrid,THC 18%,4.7,(54),41 people reported 352 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],,['36% of people say it helps with depression'],,['9% of people report feeling dry eyes'],['9% of people report feeling dry mouth'],['56% of people report feeling euphoric'],['53% of people report feeling happy'],,['26% of people say it helps with pain'],['2% of people report feeling paranoid'],['46% of people report feeling relaxed'],,['39% of people say it helps with stress'],['43% of people report feeling uplifted'],,['41% of people report feeling creative'],,,['26% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnowLAnd,Hybrid,THC 20%,4.7,(55),45 people reported 353 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['35% of people say it helps with anxiety'],['2% of people report feeling anxious'],['26% of people say it helps with depression'],['2% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['24% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['53% of people report feeling happy'],,['28% of people say it helps with pain'],,['71% of people report feeling relaxed'],,['35% of people say it helps with stress'],['40% of people report feeling uplifted'],,,['2% of people report feeling headache'],,,['26% of people say it helps with ptsd'],,['35% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moonbow,Hybrid,Unavailable,5.0,(6),5 people reported 10 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['20% of people report feeling dry eyes'],,['40% of people report feeling euphoric'],,,,,['40% of people report feeling relaxed'],,,['40% of people report feeling uplifted'],['20% of people report feeling hungry'],,,,,,,,,,['20% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Crack,Hybrid,THC 17%,4.2,(91),65 people reported 445 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['13% of people say it helps with anxiety'],,['20% of people say it helps with depression'],['4% of people report feeling dizzy'],['7% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['64% of people report feeling happy'],['10% of people say it helps with insomnia'],['18% of people say it helps with pain'],['4% of people report feeling paranoid'],['60% of people report feeling relaxed'],,['29% of people say it helps with stress'],['49% of people report feeling uplifted'],,,['4% of people report feeling headache'],,,,,['36% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,Sativa,Unavailable,4.5,(78),50 people reported 275 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['16% of people say it helps with anxiety'],['6% of people report feeling anxious'],['22% of people say it helps with depression'],['8% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['10% of people report feeling dry mouth'],['38% of people report feeling euphoric'],['40% of people report feeling happy'],,['12% of people say it helps with pain'],['8% of people report feeling paranoid'],['32% of people report feeling relaxed'],,['26% of people say it helps with stress'],['38% of people report feeling uplifted'],,,,['44% of people report feeling energetic'],,,,,['10% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Wrench,Sativa,THC 17%,4.3,(186),137 people reported 1002 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['18% of people say it helps with anxiety'],['5% of people report feeling anxious'],['28% of people say it helps with depression'],['5% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['29% of people report feeling dry mouth'],,['58% of people report feeling happy'],,['16% of people say it helps with pain'],['6% of people report feeling paranoid'],,,['30% of people say it helps with stress'],['51% of people report feeling uplifted'],,['49% of people report feeling creative'],,['53% of people report feeling energetic'],['15% of people say it helps with fatigue'],,,['48% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortune Cookies,Hybrid,THC 17%,4.6,(140),98 people reported 807 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],,['32% of people say it helps with depression'],['6% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['21% of people report feeling dry mouth'],['53% of people report feeling euphoric'],['69% of people report feeling happy'],,['25% of people say it helps with pain'],['4% of people report feeling paranoid'],['72% of people report feeling relaxed'],,['31% of people say it helps with stress'],['46% of people report feeling uplifted'],,['42% of people report feeling creative'],['2% of people report feeling headache'],,['16% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Member OG,Hybrid,THC 21%,4.4,(17),9 people reported 48 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,['11% of people report feeling dry eyes'],['11% of people report feeling dry mouth'],['44% of people report feeling euphoric'],['44% of people report feeling happy'],['22% of people say it helps with insomnia'],['22% of people say it helps with pain'],,['77% of people report feeling relaxed'],['33% of people report feeling sleepy'],['22% of people say it helps with stress'],['22% of people report feeling uplifted'],,,,,,,,,,,,['22% of people say it helps with nausea'],,,['11% of people say it helps with cramps'],,,,,,,,,,,,,,,,,,,,,,,
Peach Crescendo F-1,Hybrid,Unavailable,4.3,(15),10 people reported 51 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['30% of people say it helps with anxiety'],,['20% of people say it helps with depression'],,['20% of people report feeling dry eyes'],['10% of people report feeling dry mouth'],,['40% of people report feeling happy'],['20% of people say it helps with insomnia'],,,['40% of people report feeling relaxed'],,['20% of people say it helps with stress'],['30% of people report feeling uplifted'],,,['10% of people report feeling headache'],,,,,['30% of people report feeling focused'],,,['20% of people report feeling tingly'],,,,['10% of people say it helps with cramps'],,,,,,,,,,,,,,,,,,,,,,,
Sour Amnesia,Sativa,THC 21%,4.6,(124),86 people reported 613 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['26% of people say it helps with anxiety'],['3% of people report feeling anxious'],['30% of people say it helps with depression'],['1% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],['55% of people report feeling euphoric'],['68% of people report feeling happy'],,['23% of people say it helps with pain'],['2% of people report feeling paranoid'],,,['29% of people say it helps with stress'],['65% of people report feeling uplifted'],,['48% of people report feeling creative'],,['47% of people report feeling energetic'],['19% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Wagon,Sativa,Unavailable,4.4,(13),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4,Hybrid,THC 19%,4.4,(95),67 people reported 480 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['28% of people say it helps with anxiety'],['4% of people report feeling anxious'],['28% of people say it helps with depression'],['4% of people report feeling dizzy'],['11% of people report feeling dry eyes'],['23% of people report feeling dry mouth'],['52% of people report feeling euphoric'],['52% of people report feeling happy'],,['23% of people say it helps with pain'],['4% of people report feeling paranoid'],['74% of people report feeling relaxed'],,['29% of people say it helps with stress'],['55% of people report feeling uplifted'],,,,,,,,['28% of people report feeling focused'],['14% of people say it helps with headaches'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banana Puddintain,Hybrid,THC 27%,4.6,(18),14 people reported 8 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,,,,['7% of people report feeling relaxed'],,['7% of people say it helps with stress'],['7% of people report feeling uplifted'],,['14% of people report feeling creative'],,,,,,['7% of people report feeling focused'],,,['7% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Wet Dream,Sativa,Unavailable,4.4,(83),47 people reported 285 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['12% of people say it helps with anxiety'],['2% of people report feeling anxious'],['27% of people say it helps with depression'],['4% of people report feeling dizzy'],['8% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],['61% of people report feeling euphoric'],['51% of people report feeling happy'],,,['4% of people report feeling paranoid'],,,['29% of people say it helps with stress'],['55% of people report feeling uplifted'],,['53% of people report feeling creative'],,['61% of people report feeling energetic'],['10% of people say it helps with fatigue'],,,,,['12% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chem de la Chem,Sativa,THC 18%,5.0,(6),2 people reported 3 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,['50% of people report feeling euphoric'],,,,,['50% of people report feeling relaxed'],,,,,,,,,,,['50% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud 9,Hybrid,THC 20%,4.3,(55),32 people reported 235 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['40% of people say it helps with anxiety'],,['28% of people say it helps with depression'],['12% of people report feeling dizzy'],['46% of people report feeling dry eyes'],['40% of people report feeling dry mouth'],['46% of people report feeling euphoric'],['53% of people report feeling happy'],,['31% of people say it helps with pain'],['25% of people report feeling paranoid'],['34% of people report feeling relaxed'],,['31% of people say it helps with stress'],,,['34% of people report feeling creative'],['9% of people report feeling headache'],,,,['37% of people report feeling talkative'],,,,,['28% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Locktite,Hybrid,THC 18%,4.4,(70),39 people reported 328 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['43% of people say it helps with anxiety'],['5% of people report feeling anxious'],['41% of people say it helps with depression'],['2% of people report feeling dizzy'],['15% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],['48% of people report feeling euphoric'],['69% of people report feeling happy'],,['33% of people say it helps with pain'],,['69% of people report feeling relaxed'],,['51% of people say it helps with stress'],['46% of people report feeling uplifted'],,['33% of people report feeling creative'],['7% of people report feeling headache'],,['23% of people say it helps with fatigue'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Walker Kush,Hybrid,THC 21%,4.4,(75),44 people reported 298 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],['2% of people report feeling anxious'],['29% of people say it helps with depression'],['4% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['22% of people report feeling dry mouth'],['38% of people report feeling euphoric'],['43% of people report feeling happy'],,,['6% of people report feeling paranoid'],['54% of people report feeling relaxed'],,['31% of people say it helps with stress'],['52% of people report feeling uplifted'],,['38% of people report feeling creative'],,,,,,,['13% of people say it helps with headaches'],['15% of people say it helps with lack of appetite'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glueberry,Hybrid,THC 20%,4.8,(4),2 people reported 2 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['50% of people say it helps with anxiety'],,['50% of people say it helps with depression'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shark Bite,Hybrid,THC 24%,4.1,(17),8 people reported 37 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['25% of people say it helps with anxiety'],['12% of people report feeling anxious'],['25% of people say it helps with depression'],['12% of people report feeling dizzy'],['12% of people report feeling dry eyes'],['12% of people report feeling dry mouth'],['50% of people report feeling euphoric'],,,,,['25% of people report feeling relaxed'],,,['37% of people report feeling uplifted'],,,,['50% of people report feeling energetic'],,,['25% of people report feeling talkative'],,['12% of people say it helps with headaches'],,,,,,['12% of people say it helps with cramps'],,,,,,,,,['25% of people say it helps with add/adhd'],,,,,,,,,,,,,,
Gelato 45,Hybrid,THC 21%,5.0,(3),3 people reported 20 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['33% of people report feeling anxious'],,['33% of people report feeling dizzy'],['33% of people report feeling dry eyes'],['33% of people report feeling dry mouth'],['66% of people report feeling euphoric'],,,,,['100% of people report feeling relaxed'],,,['33% of people report feeling uplifted'],['33% of people report feeling hungry'],,['33% of people report feeling headache'],,,,['33% of people report feeling talkative'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sour Bubble,Indica,THC 16%,4.6,(46),29 people reported 190 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['31% of people say it helps with anxiety'],['3% of people report feeling anxious'],['17% of people say it helps with depression'],['6% of people report feeling dizzy'],['10% of people report feeling dry eyes'],['17% of people report feeling dry mouth'],,['58% of people report feeling happy'],['27% of people say it helps with insomnia'],['31% of people say it helps with pain'],,['72% of people report feeling relaxed'],['41% of people report feeling sleepy'],['27% of people say it helps with stress'],['34% of people report feeling uplifted'],['31% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comatose OG,Indica,THC 20%,4.5,(4),2 people reported 4 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,,,,,,,,,,['100% of people report feeling relaxed'],['50% of people report feeling sleepy'],,,['50% of people report feeling hungry'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepalese,Sativa,THC 19%,4.3,(51),39 people reported 352 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['2% of people report feeling anxious'],['30% of people say it helps with depression'],['10% of people report feeling dizzy'],['20% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['56% of people report feeling euphoric'],['69% of people report feeling happy'],['28% of people say it helps with insomnia'],['30% of people say it helps with pain'],,['58% of people report feeling relaxed'],,['33% of people say it helps with stress'],['51% of people report feeling uplifted'],,['35% of people report feeling creative'],['2% of people report feeling headache'],,,,,,,,,['30% of people say it helps with nausea'],,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Steel,Indica,THC 19%,4.4,(28),22 people reported 120 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['27% of people say it helps with anxiety'],,['13% of people say it helps with depression'],['13% of people report feeling dizzy'],['9% of people report feeling dry eyes'],['18% of people report feeling dry mouth'],['27% of people report feeling euphoric'],['40% of people report feeling happy'],['13% of people say it helps with insomnia'],['36% of people say it helps with pain'],,['72% of people report feeling relaxed'],['31% of people report feeling sleepy'],['27% of people say it helps with stress'],['40% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Church OG,Indica,THC 15%,4.1,(123),93 people reported 625 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['26% of people say it helps with anxiety'],['5% of people report feeling anxious'],['18% of people say it helps with depression'],['6% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['34% of people report feeling dry mouth'],['35% of people report feeling euphoric'],['39% of people report feeling happy'],['25% of people say it helps with insomnia'],['33% of people say it helps with pain'],['11% of people report feeling paranoid'],['58% of people report feeling relaxed'],['44% of people report feeling sleepy'],['26% of people say it helps with stress'],['25% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Raspberry Snow Cone,Hybrid,Unavailable,4.6,(11),5 people reported 17 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,['20% of people report feeling anxious'],,,,,['40% of people report feeling euphoric'],['40% of people report feeling happy'],,,,['40% of people report feeling relaxed'],,,,,['40% of people report feeling creative'],,,,,,,,,['60% of people report feeling tingly'],,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Mystic,Indica,THC 16%,4.3,(154),111 people reported 848 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['34% of people say it helps with anxiety'],['3% of people report feeling anxious'],['31% of people say it helps with depression'],['12% of people report feeling dizzy'],['18% of people report feeling dry eyes'],['38% of people report feeling dry mouth'],['52% of people report feeling euphoric'],['52% of people report feeling happy'],['21% of people say it helps with insomnia'],['23% of people say it helps with pain'],['8% of people report feeling paranoid'],['59% of people report feeling relaxed'],['36% of people report feeling sleepy'],['41% of people say it helps with stress'],['43% of people report feeling uplifted'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Tangie,Sativa,THC 12%,4.6,(52),38 people reported 283 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['21% of people say it helps with anxiety'],,['26% of people say it helps with depression'],['5% of people report feeling dizzy'],['13% of people report feeling dry eyes'],['15% of people report feeling dry mouth'],['52% of people report feeling euphoric'],['60% of people report feeling happy'],,['18% of people say it helps with pain'],['2% of people report feeling paranoid'],,,['21% of people say it helps with stress'],['63% of people report feeling uplifted'],,,['5% of people report feeling headache'],['50% of people report feeling energetic'],['18% of people say it helps with fatigue'],,,['44% of people report feeling focused'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA OG,Indica,THC 20%,4.4,(73),50 people reported 397 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['34% of people say it helps with anxiety'],['10% of people report feeling anxious'],,['8% of people report feeling dizzy'],['14% of people report feeling dry eyes'],['34% of people report feeling dry mouth'],['54% of people report feeling euphoric'],['40% of people report feeling happy'],['32% of people say it helps with insomnia'],['52% of people say it helps with pain'],['10% of people report feeling paranoid'],['62% of people report feeling relaxed'],['34% of people report feeling sleepy'],['36% of people say it helps with stress'],['40% of people report feeling uplifted'],,,,,,,,,,,,,,,,['18% of people say it helps with muscle spasms'],,,,,,,,,,,,,,,,,,,,,,
Banana Milk,Hybrid,Unavailable,5.0,(2),Unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alien Technology,Indica,THC 16%,4.5,(15),9 people reported 61 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,['22% of people say it helps with anxiety'],['11% of people report feeling anxious'],['11% of people say it helps with depression'],,['22% of people report feeling dry eyes'],['55% of people report feeling dry mouth'],['66% of people report feeling euphoric'],['77% of people report feeling happy'],['11% of people say it helps with insomnia'],,,['55% of people report feeling relaxed'],,,['55% of people report feeling uplifted'],,,['11% of people report feeling headache'],,['11% of people say it helps with fatigue'],,['22% of people report feeling talkative'],,,,,,,,,,,,,,,,,['22% of people say it helps with add/adhd'],,,,,,,,,,,,,,
Pura Vida,Hybrid,THC 23%,4.8,(12),10 people reported 66 effectsThis info is sourced from our readers and is not a substitute for professional medical advice. Seek the advice of a health professional before using cannabis for a medical condition.,,,['20% of people say it helps with depression'],['10% of people report feeling dizzy'],['10% of people report feeling dry eyes'],['20% of people report feeling dry mouth'],['50% of people report feeling euphoric'],['30% of people report feeling happy'],,['20% of people say it helps with pain'],['10% of people report feeling paranoid'],['50% of people report feeling relaxed'],,['20% of people say it helps with stress'],['30% of people report feeling uplifted'],,,,,['20% of people say it helps with fatigue'],,['30% of people report feeling talkative'],,,,,,,,['20% of people say it helps with cramps'],,,,,,,,,,,,,,,,,,,,,,,
